################   Threshold activation function   ################
Result vector: 0101011101110111
Era #1      Result vector: 1010110111011011      Number of error: 10      Weights: (0.0 0.0 0.0 0.6 0.90000004)
Era #2      Result vector: 1111010101111101      Number of error: 5      Weights: (-0.3 0.0 0.3 0.90000004 0.90000004)
Era #3      Result vector: 0111011101110111      Number of error: 1      Weights: (-0.6 0.0 0.3 0.6 0.90000004)
Era #4      Result vector: 0111010101111101      Number of error: 4      Weights: (-0.6 0.0 0.6 0.90000004 0.90000004)
Era #5      Result vector: 0111011101011111      Number of error: 3      Weights: (-0.90000004 0.0 0.3 0.90000004 0.90000004)
Era #6      Result vector: 0111010101110111      Number of error: 2      Weights: (-0.90000004 0.0 0.6 0.90000004 0.90000004)
Era #7      Result vector: 0111011100111101      Number of error: 4      Weights: (-0.90000004 0.3 0.6 0.90000004 1.2)
Era #8      Result vector: 0111011101011111      Number of error: 3      Weights: (-1.2 0.3 0.3 0.90000004 1.2)
Era #9      Result vector: 0101011101110111      Number of error: 0      Weights: (-1.2 0.3 0.3 0.90000004 1.2)



################   Threshold activation function (part data)   ################
Result vector: 0101011101110111
Era #1      Result vector: 11011      Number of error: 3      Weights: (-0.3 -0.3 0.0 0.0 0.0)
Era #2      Result vector: 01001      Number of error: 5      Weights: (0.0 -0.3 0.0 0.3 0.3)
Era #3      Result vector: 11011      Number of error: 3      Weights: (-0.3 -0.6 0.0 0.3 0.3)
Era #4      Result vector: 11001      Number of error: 4      Weights: (-0.3 -0.6 0.0 0.6 0.3)
Era #5      Result vector: 11001      Number of error: 4      Weights: (-0.3 -0.6 0.0 0.90000004 0.3)
Era #6      Result vector: 11100      Number of error: 2      Weights: (-0.3 -0.3 0.0 0.90000004 0.3)
Era #7      Result vector: 11100      Number of error: 2      Weights: (-0.3 0.0 0.0 0.90000004 0.3)
Era #8      Result vector: 11110      Number of error: 1      Weights: (-0.6 0.0 0.0 0.6 0.3)
Era #9      Result vector: 01011      Number of error: 4      Weights: (-0.6 -0.3 0.0 0.6 0.6)
Era #10      Result vector: 11001      Number of error: 4      Weights: (-0.6 -0.3 0.0 0.90000004 0.6)
Era #11      Result vector: 11010      Number of error: 2      Weights: (-0.6 -0.3 0.3 0.90000004 0.6)
Era #12      Result vector: 11100      Number of error: 2      Weights: (-0.6 0.0 0.3 0.90000004 0.6)
Era #13      Result vector: 11101      Number of error: 3      Weights: (-0.90000004 0.0 0.0 0.90000004 0.6)
